Date,Hours
10/29/2009,3
10/29/2009,0
10/30/2009,13
10/31/2009,13
11/1/2009,0
11/2/2009,0
11/3/2009,9
11/4/2009,0
11/5/2009,14
11/6/2009,13
11/7/2009,0
11/8/2009,0
11/9/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,0
11/13/2009,0
11/14/2009,0
11/15/2009,0
11/16/2009,7
11/17/2009,20
11/18/2009,0
11/19/2009,0
11/20/2009,0
11/21/2009,24
11/22/2009,0
11/23/2009,0
11/24/2009,18
11/25/2009,5
11/26/2009,5
11/27/2009,0
11/28/2009,2
11/29/2009,10
11/30/2009,2
12/1/2009,0
12/2/2009,0
12/3/2009,0
12/4/2009,0
12/5/2009,20
12/6/2009,0
12/7/2009,21
12/8/2009,2
12/9/2009,0
12/10/2009,0
12/11/2009,17
12/12/2009,0
12/13/2009,0
12/14/2009,0
12/15/2009,1
12/16/2009,0
12/17/2009,5
12/18/2009,23
12/19/2009,0
12/20/2009,1
12/21/2009,19
12/22/2009,0
12/23/2009,0
12/24/2009,0
12/25/2009,0
12/26/2009,11
12/27/2009,0
12/28/2009,0
12/29/2009,0
12/30/2009,22
12/31/2009,0
1/1/2010,0
1/2/2010,0
1/3/2010,18
1/4/2010,18
1/5/2010,0
1/6/2010,0
1/7/2010,0
1/8/2010,15
1/9/2010,0
1/10/2010,0
1/11/2010,3
1/12/2010,0
1/13/2010,21
1/14/2010,0
1/15/2010,18
1/16/2010,23
1/17/2010,0
1/18/2010,14
1/19/2010,12
1/20/2010,9
1/21/2010,24
1/22/2010,21
1/23/2010,14
1/24/2010,16
1/25/2010,20
1/26/2010,17
1/27/2010,0
1/28/2010,14
1/29/2010,0
1/30/2010,12
1/31/2010,21
2/1/2010,0
2/2/2010,0
2/3/2010,9
2/4/2010,22
2/5/2010,13
2/6/2010,0
2/7/2010,0
2/8/2010,0
2/9/2010,0
2/10/2010,0
2/11/2010,6
2/12/2010,0
2/13/2010,0
2/14/2010,0
2/15/2010,10
2/16/2010,0
2/17/2010,0
2/18/2010,0
2/19/2010,0
2/20/2010,0
2/21/2010,23
2/22/2010,0
2/23/2010,18
2/24/2010,2
2/25/2010,0
2/26/2010,0
2/27/2010,0
2/28/2010,5
3/1/2010,12
3/2/2010,0
3/3/2010,0
3/4/2010,0
3/5/2010,0
3/6/2010,0
3/7/2010,0
3/8/2010,0
3/9/2010,0
3/10/2010,0
3/11/2010,0
3/12/2010,0
3/13/2010,7
3/14/2010,16
3/15/2010,18
3/16/2010,17
3/17/2010,0
3/18/2010,0
3/19/2010,0
3/20/2010,10
3/21/2010,14
3/22/2010,6
3/23/2010,0
3/24/2010,0
3/25/2010,1
3/26/2010,0
3/27/2010,1
3/28/2010,19
3/29/2010,0
3/30/2010,0
3/31/2010,4
4/1/2010,0
4/2/2010,0
4/3/2010,0
4/4/2010,0
4/5/2010,0
4/6/2010,0
4/7/2010,0
4/8/2010,0
4/9/2010,21
4/10/2010,0
4/11/2010,0
4/12/2010,18
4/13/2010,0
4/14/2010,0
4/15/2010,0
4/16/2010,0
4/17/2010,0
4/18/2010,0
4/19/2010,0
4/20/2010,0
4/21/2010,0
4/22/2010,5
4/23/2010,17
4/24/2010,4
4/25/2010,0
4/26/2010,0
4/27/2010,0
4/28/2010,23
4/29/2010,21
4/30/2010,0
5/1/2010,0
5/2/2010,22
5/3/2010,16
5/4/2010,0
5/5/2010,0
5/6/2010,5
5/7/2010,15
5/8/2010,0
5/9/2010,11
5/10/2010,23
5/11/2010,14
5/12/2010,0
5/13/2010,10
5/14/2010,24
5/15/2010,0
5/16/2010,9
5/17/2010,0
5/18/2010,2
5/19/2010,0
5/20/2010,13
5/21/2010,11
5/22/2010,18
5/23/2010,0
5/24/2010,0
5/25/2010,15
5/26/2010,0
5/27/2010,0
5/28/2010,0
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,0
6/4/2010,6
6/5/2010,16
6/6/2010,0
6/7/2010,8
6/8/2010,5
6/9/2010,0
6/10/2010,0
6/11/2010,16
6/12/2010,0
6/13/2010,2
6/14/2010,0
6/15/2010,24
6/16/2010,0
6/17/2010,0
6/18/2010,6
6/19/2010,7
6/20/2010,16
6/21/2010,0
6/22/2010,16
6/23/2010,12
6/24/2010,2
6/25/2010,0
6/26/2010,0
6/27/2010,0
6/28/2010,10
6/29/2010,10
6/30/2010,16
7/1/2010,0
7/2/2010,0
7/3/2010,0
7/4/2010,3
7/5/2010,0
7/6/2010,6
7/7/2010,0
7/8/2010,0
7/9/2010,2
7/10/2010,0
7/11/2010,0
7/12/2010,13
7/13/2010,13
7/14/2010,0
7/15/2010,0
7/16/2010,0
7/17/2010,0
7/18/2010,11
7/19/2010,11
7/20/2010,0
7/21/2010,0
7/22/2010,0
7/23/2010,11
7/24/2010,3
7/25/2010,19
7/26/2010,0
7/27/2010,0
7/28/2010,10
7/29/2010,10
7/30/2010,0
7/31/2010,0
8/1/2010,0
8/2/2010,0
8/3/2010,0
8/4/2010,23
8/5/2010,0
8/6/2010,15
8/7/2010,0
8/8/2010,0
8/9/2010,0
8/10/2010,21
8/11/2010,11
8/12/2010,11
8/13/2010,23
8/14/2010,0
8/15/2010,2
8/16/2010,0
8/17/2010,0
8/18/2010,0
8/19/2010,11
8/20/2010,0
8/21/2010,0
8/22/2010,3
8/23/2010,0
8/24/2010,0
8/25/2010,9
8/26/2010,1
8/27/2010,0
8/28/2010,0
8/29/2010,9
8/30/2010,0
8/31/2010,0
9/1/2010,0
9/2/2010,14
9/3/2010,0
9/4/2010,9
9/5/2010,11
9/6/2010,12
9/7/2010,23
9/8/2010,0
9/9/2010,0
9/10/2010,12
9/11/2010,0
9/12/2010,24
9/13/2010,1
9/14/2010,0
9/15/2010,17
9/16/2010,0
9/17/2010,0
9/18/2010,0
9/19/2010,18
9/20/2010,0
9/21/2010,15
9/22/2010,0
9/23/2010,0
9/24/2010,0
9/25/2010,0
9/26/2010,0
9/27/2010,0
9/28/2010,0
9/29/2010,0
9/30/2010,0
10/1/2010,16
10/2/2010,0
10/3/2010,0
10/4/2010,0
10/5/2010,0
10/6/2010,0
10/7/2010,0
10/8/2010,0
10/9/2010,16
10/10/2010,0
10/11/2010,0
10/12/2010,0
10/13/2010,0
10/14/2010,22
10/15/2010,15
10/16/2010,0
10/17/2010,0
10/18/2010,0
10/19/2010,0
10/20/2010,0
10/21/2010,0
10/22/2010,17
10/23/2010,0
10/24/2010,10
10/25/2010,23
10/26/2010,0
10/27/2010,0
10/28/2010,20
10/29/2010,0
10/30/2010,0
10/31/2010,0
11/1/2010,0
11/2/2010,0
11/3/2010,0
11/4/2010,0
11/5/2010,1
11/6/2010,15
11/7/2010,16
11/8/2010,0
11/9/2010,0
11/10/2010,13
11/11/2010,0
11/12/2010,0
11/13/2010,0
11/14/2010,0
11/15/2010,22
11/16/2010,0
11/17/2010,0
11/18/2010,0
11/19/2010,21
11/20/2010,0
11/21/2010,0
11/22/2010,0
11/23/2010,0
11/24/2010,0
11/25/2010,0
11/26/2010,0
11/27/2010,0
11/28/2010,20
11/29/2010,8
11/30/2010,0
12/1/2010,1
12/2/2010,12
12/3/2010,0
12/4/2010,3
12/5/2010,0
12/6/2010,13
12/7/2010,0
12/8/2010,0
12/9/2010,0
12/10/2010,0
12/11/2010,0
12/12/2010,13
12/13/2010,0
12/14/2010,0
12/15/2010,10
12/16/2010,19
12/17/2010,11
12/18/2010,0
12/19/2010,0
12/20/2010,9
12/21/2010,24
12/22/2010,0
12/23/2010,21
12/24/2010,20
12/25/2010,19
12/26/2010,0
12/27/2010,0
12/28/2010,0
12/29/2010,16
12/30/2010,0
12/31/2010,0
1/1/2011,0
1/2/2011,19
1/3/2011,0
1/4/2011,0
1/5/2011,0
1/6/2011,7
1/7/2011,16
1/8/2011,0
1/9/2011,0
1/10/2011,0
1/11/2011,0
1/12/2011,0
1/13/2011,7
1/14/2011,0
1/15/2011,12
1/16/2011,0
1/17/2011,0
1/18/2011,0
1/19/2011,0
1/20/2011,0
1/21/2011,21
1/22/2011,0
1/23/2011,0
1/24/2011,7
1/25/2011,0
1/26/2011,0
1/27/2011,0
1/28/2011,0
1/29/2011,0
1/30/2011,0
1/31/2011,0
2/1/2011,0
2/2/2011,9
2/3/2011,0
2/4/2011,17
2/5/2011,0
2/6/2011,24
2/7/2011,0
2/8/2011,0
2/9/2011,0
2/10/2011,0
2/11/2011,24
2/12/2011,0
2/13/2011,16
2/14/2011,11
2/15/2011,0
2/16/2011,0
2/17/2011,0
2/18/2011,0
2/19/2011,2
2/20/2011,0
2/21/2011,0
2/22/2011,0
2/23/2011,15
2/24/2011,4
2/25/2011,0
2/26/2011,24
2/27/2011,17
2/28/2011,0
3/1/2011,0
3/2/2011,13
3/3/2011,17
3/4/2011,1
3/5/2011,0
3/6/2011,0
3/7/2011,16
3/8/2011,0
3/9/2011,0
3/10/2011,0
3/11/2011,0
3/12/2011,0
3/13/2011,0
3/14/2011,0
3/15/2011,0
3/16/2011,23
3/17/2011,0
3/18/2011,22
3/19/2011,0
3/20/2011,11
3/21/2011,4
3/22/2011,14
3/23/2011,0
3/24/2011,5
3/25/2011,0
3/26/2011,0
3/27/2011,21
3/28/2011,13
3/29/2011,8
3/30/2011,0
3/31/2011,18
4/1/2011,0
4/2/2011,24
4/3/2011,24
4/4/2011,15
4/5/2011,8
4/6/2011,23
4/7/2011,0
4/8/2011,7
4/9/2011,0
4/10/2011,0
4/11/2011,0
4/12/2011,0
4/13/2011,0
4/14/2011,15
4/15/2011,0
4/16/2011,7
4/17/2011,23
4/18/2011,0
4/19/2011,0
4/20/2011,0
4/21/2011,2
4/22/2011,0
4/23/2011,0
4/24/2011,0
4/25/2011,0
4/26/2011,0
4/27/2011,0
4/28/2011,13
4/29/2011,0
4/30/2011,0
5/1/2011,0
5/2/2011,0
5/3/2011,11
5/4/2011,2
5/5/2011,16
5/6/2011,0
5/7/2011,8
5/8/2011,0
5/9/2011,0
5/10/2011,0
5/11/2011,22
5/12/2011,0
5/13/2011,0
5/14/2011,0
5/15/2011,0
5/16/2011,0
5/17/2011,19
5/18/2011,0
5/19/2011,0
5/20/2011,0
5/21/2011,0
5/22/2011,0
5/23/2011,0
5/24/2011,16
5/25/2011,10
5/26/2011,0
5/27/2011,0
5/28/2011,0
5/29/2011,0
5/30/2011,15
5/31/2011,0
6/1/2011,16
6/2/2011,0
6/3/2011,0
6/4/2011,8
6/5/2011,14
6/6/2011,9
6/7/2011,0
6/8/2011,0
6/9/2011,18
6/10/2011,0
6/11/2011,0
6/12/2011,5
6/13/2011,20
6/14/2011,0
6/15/2011,0
6/16/2011,0
6/17/2011,21
6/18/2011,6
6/19/2011,0
6/20/2011,0
6/21/2011,0
6/22/2011,22
6/23/2011,10
6/24/2011,0
6/25/2011,0
6/26/2011,2
6/27/2011,2
6/28/2011,0
6/29/2011,6
6/30/2011,0
7/1/2011,0
7/2/2011,0
7/3/2011,0
7/4/2011,0
7/5/2011,0
7/6/2011,12
7/7/2011,0
7/8/2011,18
7/9/2011,0
7/10/2011,23
7/11/2011,0
7/12/2011,10
7/13/2011,0
7/14/2011,0
7/15/2011,0
7/16/2011,9
7/17/2011,0
7/18/2011,0
7/19/2011,0
7/20/2011,0
7/21/2011,7
7/22/2011,0
7/23/2011,0
7/24/2011,0
7/25/2011,0
7/26/2011,22
7/27/2011,16
7/28/2011,23
7/29/2011,0
7/30/2011,0
7/31/2011,9
8/1/2011,0
8/2/2011,19
8/3/2011,3
8/4/2011,17
8/5/2011,0
8/6/2011,0
8/7/2011,16
8/8/2011,0
8/9/2011,0
8/10/2011,4
8/11/2011,21
8/12/2011,0
8/13/2011,1
8/14/2011,21
8/15/2011,21
8/16/2011,0
8/17/2011,0
8/18/2011,0
8/19/2011,12
8/20/2011,24
8/21/2011,0
8/22/2011,0
8/23/2011,0
8/24/2011,0
8/25/2011,15
8/26/2011,0
8/27/2011,11
8/28/2011,6
8/29/2011,0
8/30/2011,0
8/31/2011,0
9/1/2011,0
9/2/2011,0
9/3/2011,0
9/4/2011,0
9/5/2011,0
9/6/2011,16
9/7/2011,6
9/8/2011,0
9/9/2011,0
9/10/2011,4
9/11/2011,9
9/12/2011,0
9/13/2011,0
9/14/2011,9
9/15/2011,3
9/16/2011,0
9/17/2011,12
9/18/2011,3
9/19/2011,0
9/20/2011,0
9/21/2011,12
9/22/2011,0
9/23/2011,1
9/24/2011,17
9/25/2011,3
9/26/2011,16
9/27/2011,0
9/28/2011,0
9/29/2011,0
9/30/2011,2
10/1/2011,0
10/2/2011,0
10/3/2011,0
10/4/2011,0
10/5/2011,10
10/6/2011,3
10/7/2011,12
10/8/2011,17
10/9/2011,24
10/10/2011,0
10/11/2011,7
10/12/2011,0
10/13/2011,23
10/14/2011,0
10/15/2011,24
10/16/2011,0
10/17/2011,11
10/18/2011,3
10/19/2011,20
10/20/2011,12
10/21/2011,17
10/22/2011,18
10/23/2011,0
10/24/2011,3
10/25/2011,0
10/26/2011,0
10/27/2011,0
10/28/2011,0
10/29/2011,0
10/30/2011,4
10/31/2011,0
11/1/2011,0
11/2/2011,0
11/3/2011,0
11/4/2011,0
11/5/2011,3
11/6/2011,0
11/7/2011,0
11/8/2011,0
11/9/2011,0
11/10/2011,1
11/11/2011,0
11/12/2011,0
11/13/2011,0
11/14/2011,0
11/15/2011,0
11/16/2011,3
11/17/2011,5
11/18/2011,14
11/19/2011,17
11/20/2011,0
11/21/2011,0
11/22/2011,0
11/23/2011,0
11/24/2011,18
11/25/2011,6
11/26/2011,6
11/27/2011,0
11/28/2011,0
11/29/2011,19
11/30/2011,9
12/1/2011,11
12/2/2011,21
12/3/2011,12
12/4/2011,0
12/5/2011,22
12/6/2011,7
12/7/2011,16
12/8/2011,18
12/9/2011,0
12/10/2011,0
12/11/2011,3
12/12/2011,0
12/13/2011,10
12/14/2011,0
12/15/2011,6
12/16/2011,0
12/17/2011,0
12/18/2011,23
12/19/2011,0
12/20/2011,2
12/21/2011,0
12/22/2011,13
12/23/2011,12
12/24/2011,9
12/25/2011,15
12/26/2011,5
12/27/2011,16
12/28/2011,19
12/29/2011,0
12/30/2011,6
12/31/2011,24
1/1/2012,11
1/2/2012,0
1/3/2012,0
1/4/2012,19
1/5/2012,16
1/6/2012,10
1/7/2012,0
1/8/2012,0
1/9/2012,14
1/10/2012,0
1/11/2012,11
1/12/2012,6
1/13/2012,14
1/14/2012,0
1/15/2012,6
1/16/2012,24
1/17/2012,17
1/18/2012,0
1/19/2012,14
1/20/2012,18
1/21/2012,6
1/22/2012,0
1/23/2012,0
1/24/2012,14
1/25/2012,0
1/26/2012,0
1/27/2012,5
1/28/2012,0
1/29/2012,0
1/30/2012,0
1/31/2012,0
2/1/2012,17
2/2/2012,11
2/3/2012,0
2/4/2012,0
2/5/2012,15
2/6/2012,0
2/7/2012,0
2/8/2012,0
2/9/2012,0
2/10/2012,0
2/11/2012,3
2/12/2012,0
2/13/2012,0
2/14/2012,0
2/15/2012,1
2/16/2012,0
2/17/2012,18
2/18/2012,5
2/19/2012,0
2/20/2012,0
2/21/2012,0
2/22/2012,0
2/23/2012,0
2/24/2012,0
2/25/2012,0
2/26/2012,0
2/27/2012,0
2/28/2012,5
2/29/2012,17
3/1/2012,6
3/2/2012,5
3/3/2012,0
3/4/2012,0
3/5/2012,0
3/6/2012,0
3/7/2012,0
3/8/2012,0
3/9/2012,0
3/10/2012,0
3/11/2012,0
3/12/2012,4
3/13/2012,0
3/14/2012,0
3/15/2012,0
3/16/2012,0
3/17/2012,18
3/18/2012,0
3/19/2012,23
3/20/2012,21
3/21/2012,19
3/22/2012,0
3/23/2012,0
3/24/2012,0
3/25/2012,0
3/26/2012,0
3/27/2012,0
3/28/2012,15
3/29/2012,0
3/30/2012,0
3/31/2012,22
4/1/2012,0
4/2/2012,0
4/3/2012,1
4/4/2012,0
4/5/2012,0
4/6/2012,16
4/7/2012,0
4/8/2012,19
4/9/2012,13
4/10/2012,0
4/11/2012,23
4/12/2012,13
4/13/2012,22
4/14/2012,0
4/15/2012,0
4/16/2012,0
4/17/2012,0
4/18/2012,5
4/19/2012,0
4/20/2012,17
4/21/2012,4
4/22/2012,5
4/23/2012,0
4/24/2012,5
4/25/2012,0
4/26/2012,0
4/27/2012,0
4/28/2012,21
4/29/2012,11
4/30/2012,0
5/1/2012,0
5/2/2012,0
5/3/2012,18
5/4/2012,15
5/5/2012,0
5/6/2012,24
5/7/2012,0
5/8/2012,0
5/9/2012,24
5/10/2012,0
5/11/2012,0
5/12/2012,0
5/13/2012,14
5/14/2012,14
5/15/2012,8
5/16/2012,0
5/17/2012,10
5/18/2012,13
5/19/2012,0
5/20/2012,13
5/21/2012,6
5/22/2012,0
5/23/2012,0
5/24/2012,4
5/25/2012,0
5/26/2012,0
5/27/2012,0
5/28/2012,0
5/29/2012,0
5/30/2012,16
5/31/2012,0
6/1/2012,0
6/2/2012,0
6/3/2012,0
6/4/2012,0
6/5/2012,0
6/6/2012,21
6/7/2012,23
6/8/2012,17
6/9/2012,21
6/10/2012,23
6/11/2012,0
6/12/2012,6
6/13/2012,0
6/14/2012,0
6/15/2012,0
6/16/2012,6
6/17/2012,0
6/18/2012,18
6/19/2012,11
6/20/2012,0
6/21/2012,20
6/22/2012,0
6/23/2012,0
6/24/2012,0
6/25/2012,10
6/26/2012,0
6/27/2012,0
6/28/2012,10
6/29/2012,0
6/30/2012,0
7/1/2012,0
7/2/2012,18
7/3/2012,4
7/4/2012,0
7/5/2012,7
7/6/2012,7
7/7/2012,6
7/8/2012,0
7/9/2012,0
7/10/2012,0
7/11/2012,14
7/12/2012,0
7/13/2012,4
7/14/2012,0
7/15/2012,22
7/16/2012,0
7/17/2012,0
7/18/2012,5
7/19/2012,0
7/20/2012,0
7/21/2012,0
7/22/2012,0
7/23/2012,0
7/24/2012,24
7/25/2012,0
7/26/2012,7
7/27/2012,0
7/28/2012,1
7/29/2012,0
7/30/2012,0
7/31/2012,22
8/1/2012,0
8/2/2012,0
8/3/2012,19
8/4/2012,9
8/5/2012,0
8/6/2012,0
8/7/2012,0
8/8/2012,8
8/9/2012,11
8/10/2012,0
8/11/2012,0
8/12/2012,7
8/13/2012,6
8/14/2012,12
8/15/2012,0
8/16/2012,0
8/17/2012,5
8/18/2012,11
8/19/2012,0
8/20/2012,0
8/21/2012,14
8/22/2012,0
8/23/2012,0
8/24/2012,0
8/25/2012,6
8/26/2012,14
8/27/2012,0
8/28/2012,0
8/29/2012,0
8/30/2012,0
8/31/2012,14
9/1/2012,0
9/2/2012,0
9/3/2012,0
9/4/2012,0
9/5/2012,0
9/6/2012,0
9/7/2012,0
9/8/2012,0
9/9/2012,23
9/10/2012,0
9/11/2012,0
9/12/2012,13
9/13/2012,10
9/14/2012,0
9/15/2012,19
9/16/2012,0
9/17/2012,0
9/18/2012,0
9/19/2012,13
9/20/2012,17
9/21/2012,8
9/22/2012,0
9/23/2012,0
9/24/2012,0
9/25/2012,0
9/26/2012,7
9/27/2012,0
9/28/2012,7
9/29/2012,0
9/30/2012,0
10/1/2012,0
10/2/2012,0
10/3/2012,0
10/4/2012,0
10/5/2012,6
10/6/2012,0
10/7/2012,0
10/8/2012,0
10/9/2012,16
10/10/2012,0
10/11/2012,2
10/12/2012,19
10/13/2012,15
10/14/2012,12
10/15/2012,20
10/16/2012,7
10/17/2012,10
10/18/2012,0
10/19/2012,0
10/20/2012,0
10/21/2012,0
10/22/2012,7
10/23/2012,0
10/24/2012,1
10/25/2012,17
10/26/2012,0
10/27/2012,0
10/28/2012,23
10/29/2012,0
10/30/2012,13
10/31/2012,9
11/1/2012,0
11/2/2012,6
11/3/2012,13
11/4/2012,4
11/5/2012,0
11/6/2012,0
11/7/2012,18
11/8/2012,0
11/9/2012,0
11/10/2012,0
11/11/2012,22
11/12/2012,0
11/13/2012,0
11/14/2012,9
11/15/2012,7
11/16/2012,16
11/17/2012,0
11/18/2012,22
11/19/2012,24
11/20/2012,17
11/21/2012,12
11/22/2012,0
11/23/2012,0
11/24/2012,0
